,uuid,teos_volume,ammonia_volume,water_volume,ethanol_volume,dilution_volume_fraction,silica_mass_conc,silica_mass_fraction,ethanol_dilute_vol,sample_dilute_vol,well,dilute_well
0,f0760849-19ea-4064-b5ae-e45aa981996e,320.7430937513709,157.00063755735755,148.35060311481357,1073.905665576458,0.3371773969119458,17.81851350364685,0.022030494527330215,1127.0,573.0,A1,C7
1,f3cbf509-261b-412c-b083-ea00cf8edf39,103.10059821233153,134.48934400454164,441.6762253269553,1020.7338324561715,1.048949504694884,5.727635098838807,0.007032136799064009,0.0,1700.0,A2,C8
2,8331bed0-257f-42ce-b6e0-439b92c237c6,78.93330601975322,135.3522682003677,465.92011760920286,1019.7943081706762,1.3701101205808779,4.385048989677429,0.005381466961440715,0.0,1700.0,A3,D1
3,bd07bf5f-b860-4d60-bb06-8bcf078973cd,88.50470742210746,321.64680875837803,528.5033655166626,761.3451183028519,1.2219386355663775,4.9167771810531615,0.005980753625323154,0.0,1700.0,A4,D2
4,d25c4916-b521-497c-b864-cf91a0aea475,48.22832071222365,98.03432531654835,627.9840680211782,925.7532859500498,2.24240280050143,2.679268862247467,0.003267103833174196,0.0,1700.0,A5,D3
5,311ef7f0-67f0-44f1-8b30-14f89070d209,484.5000072196126,315.69810066372156,462.90553227066994,436.8963598459959,0.2232142823881337,26.915840401077272,0.03239345135300512,1321.0,379.0,A6,D4
6,a5099251-1d47-4f19-829a-651f742dde01,160.8691225759685,218.11985632404685,80.63930047675967,1240.371720623225,0.6722689829895738,8.936898997306823,0.011135849653605302,557.0,1143.0,A7,D5
7,9c7c4090-d1a8-42e9-9f48-29ea62098dff,403.88657100498676,440.83246920257807,155.3671821579337,699.9137776345015,0.2677665691123861,22.437453711700442,0.02742659070289857,1245.0,455.0,A8,D6
8,9b4974c6-3261-4669-87d4-17f776c3fbc9,36.462450376711786,91.52810068801045,212.49736642464995,1359.5120825106278,2.9659915971430175,2.0256294744014745,0.002526890067833813,0.0,1700.0,B1,D7
9,6294633a-9219-4287-8b6b-86d972f53cc8,425.6985367834568,303.7835378944874,162.09349667653441,808.4244286455214,0.2540467304532538,23.649192372131353,0.02898578260332499,1268.0,432.0,B3,D8
