,uuid,teos_volume,ammonia_volume,water_volume,ethanol_volume,dilution_volume_fraction,silica_mass_conc,silica_mass_fraction,ethanol_dilute_vol,sample_dilute_vol,dilute_well,well
0,0ffe4963-fabf-4f3a-afa0-2fd3a33c94fe,81.67350143194199,161.0888347029686,78.20218503475189,1379.0354788303375,0.4646112619899012,12.93124056930542,0.01584054052729638,910.0,790.0,E1,B4
1,a351cf4d-11b9-4220-947c-c6d04c63cff3,16.99999962002039,110.42260676622391,8.499999810010195,1564.0773938037455,2.2321429070351386,2.69158393983841,0.0033688235452962534,0.0,1700.0,E3,B5
2,75bd1ac6-9c78-4a40-bf49-4422566c2c8c,132.57958516478539,169.57542598247528,240.72493612766266,1157.1200527250767,0.2862162264594833,20.99112295036316,0.024953402509328763,1213.0,487.0,E4,B6
3,32913309-5d80-4fc5-a6f6-58d9c866f81f,16.99999962002039,184.13890451192856,8.499999810010195,1490.3610960580409,2.2321429070351386,2.69158393983841,0.003348643367422777,0.0,1700.0,E5,B8
4,2c5b15e2-4420-48de-a186-2a0e2b855a12,172.16895148158073,93.161690980196,8.499999810010195,1426.169357728213,0.220402274886876,27.259246770858766,0.033612338335701146,1325.0,375.0,E6,C1
5,484be621-bbaa-4545-abbd-478caf3069eb,16.99999962002039,8.499999810010195,255.0000101327896,1419.4999904371798,2.2321429070351386,2.69158393983841,0.003271823324611556,0.0,1700.0,E8,C2
6,d8a7fcc0-4d10-46ec-9d85-14a244d293d1,74.6096171438694,36.110880970954895,48.31581972539425,1540.9636821597815,0.5085996956432123,11.812826573562623,0.014694441204707719,835.0,865.0,F1,C3
7,c4bf1f70-9c1a-4a11-8cd0-eb926ca32729,16.99999962002039,86.89849972724915,126.6347661614418,1469.4667344912887,2.2321429070351386,2.69158393983841,0.0033148626875679696,0.0,1700.0,F2,C4
8,0f8c3a1b-98e5-472d-87f7-144ef0dc9365,179.09297794103622,77.83309817314148,69.71525177359581,1373.3586721122265,0.21188116367087204,28.355517290496827,0.034659766816626025,1340.0,360.0,F3,C5
9,8af3b3af-3e4b-4e08-bdf7-522ef354a3ab,255.0000101327896,8.499999810010195,254.93870675563812,1181.561283301562,0.14880951789636482,40.37376160430909,0.04790346922478339,1447.0,253.0,F4,C6
