,uuid,teos_volume,ammonia_volume,water_volume,ethanol_volume,dilution_volume_fraction,silica_mass_conc,silica_mass_fraction,well
0,6abcfcc8-cf8d-4a5e-a92f-f3afd8023fbd,127.00049867098039,157.64374118481715,59.86794127580763,1355.487818868395,0.14341900941250144,20.107794718519536,0.02459076094845266,A1
1,8559907a-1b27-4673-ae0e-602b83d86deb,23.367554851403256,32.593166076292476,18.96466125322551,1625.0746178190786,0.7794690471515859,3.699749221009375,0.004649604124790771,A2
2,b683d769-9cd7-454a-b546-4e86afe5e3f4,38.57024184247005,137.34036043330406,186.4782395966573,1337.6111581275686,0.47223675155258676,6.106767401136641,0.007406957264752796,A3
3,a6974af8-5b2d-431a-94df-d35c0be3ee54,107.90392542015303,91.49860259777262,93.28708580085724,1407.3103861812172,0.16880095551077942,17.084263482239834,0.02093986796804108,A4
4,81f8f6c2-0e42-4680-bc11-c0be02bfd641,143.1576757509081,177.11977652834574,170.28128108333516,1209.441266637411,0.12723233748205198,22.665935854607785,0.027179653105070957,A5
5,f5e32498-0689-4e74-9a45-9c17edf776b9,146.37860550515137,130.1758416403234,34.756282550269496,1388.6892703042558,0.12443270416075057,23.175900736469256,0.02845575992852156,A6
6,1c809d50-4605-4865-aa13-13649203ede8,205.12737724532641,67.97433264129208,228.26872919764995,1198.6295609157314,0.08879500122746636,32.47750391502851,0.03870098679614102,A7
7,fe8e4a28-cb6b-4396-adc3-a51f49838d54,69.17957254238054,19.29049085928303,32.98459167721375,1578.5453449211225,0.2632899430410233,10.953095916582987,0.013683645647598006,A8
8,89b8593e-8436-4dfb-8430-1367d273cbc2,19.326118121606946,48.380129694438594,160.40620246173955,1471.887549722215,0.9424699569605661,3.0598747246016065,0.0037599236093864025,B1
9,403cbac3-a2e0-44f0-aca4-9313b8775a4e,83.07116825519711,102.07419160116066,41.69362489554654,1473.1610152480957,0.21926122019051042,13.152531019823321,0.01627571119225351,B3
10,47d95862-b511-4a42-b8b1-961b605f26a3,90.82144523655926,13.532395937428543,120.98473643863505,1474.6614223873771,0.20055049406936476,14.379620520917596,0.01769272039138182,B4
11,649ddf37-37fe-4a30-896b-010286133a28,229.96529601459093,158.88989210068652,58.54650992434074,1252.5983019603816,0.07920449750439755,36.41005360636099,0.04406180146493574,B5
12,a9d67fc5-2e59-4f51-a904-9cac957c9e73,80.17300420349086,36.7082323846744,40.44922520624596,1542.6695382055889,0.22718726702638184,12.693669138002868,0.015799156313400845,B6
13,5d67ff81-9548-4a2f-9496-5d3c3c25b3eb,238.3918466334671,121.69629745694715,216.0113697206898,1123.9004861888957,0.07640481824989004,37.744216478182,0.04472014385120669,B8
14,289532b3-a4c8-4db7-93ff-9edc14d5d2c8,100.72073371561025,56.41003917053458,229.21385452915365,1313.6553725847016,0.18083948599614663,15.946959725717479,0.019220042146218322,C1
15,43cd6089-f940-463f-bd40-a1f2bf168f67,63.32653758949563,104.92040766772102,116.35742694632464,1415.3956277964587,0.28762484745900635,10.026393844193237,0.0122900798506506,C2
16,fedab157-3d87-4f8b-b09b-590c966aa0ba,79.17455835484178,63.512306863684195,236.20345171966014,1321.109683061814,0.23005225532997056,12.535586733821086,0.015117627081577815,C3
17,48117328-d486-4f9f-96ab-b0034fe30cd5,213.96023272880262,37.943678392016224,109.14368475310854,1338.9524041260725,0.08512930408601936,33.87599641465421,0.04114594334335971,C4
18,2027f32f-4921-4edd-95bb-849ab8220e8c,136.0504166665083,77.73521219434689,163.25380730506953,1322.9605638340752,0.13387894106148332,21.540654393700418,0.026079173186423853,C5
19,1e52819b-5c95-48c2-8f70-d460a28eff49,207.60199812166172,178.07089154222822,45.094509067166086,1269.2326012689439,0.08773656264912987,32.8693068536644,0.03988787865684268,C6
20,ecc20fb9-daca-4f65-97ce-f1329696f7ec,32.66267181532395,146.57619431869676,137.5305969560077,1383.2305369099718,0.5576483705090023,5.1714308738457,0.006317865110694099,C7
21,f59733f7-c03c-4712-934e-fb6ea464b604,31.895007281363956,130.2946172460637,89.35313858654402,1448.4572368860283,0.5710701224679826,5.049887722258984,0.006223045764694177,C8
22,c2755e87-75e2-48c6-b27a-739971d1775c,78.2279023216347,134.9356026919215,66.51648409701009,1420.320010889434,0.2328361770381816,12.385704131910282,0.01523644957240749,D1
23,2a988138-57f5-40bf-851c-3df09f642f05,93.96342886355413,53.95463881225708,129.8297232383711,1422.2522090858179,0.19384441302940297,14.877085983192972,0.01821526014446659,D2
24,0d339e3d-c04d-4f61-8cb0-2fd1f18006e9,34.809373342811156,115.62254977188735,136.5583750468186,1413.009701838483,0.5232580757747922,5.511314843502178,0.006749254131559128,D3
25,320cdd85-691d-48fb-9eac-d27b2fc5e5f5,222.50863864686008,10.347905408957942,136.58098759147575,1330.5624683527062,0.08185878006828003,35.229452449627665,0.042670681689113144,D4
26,a9ad98c9-82d7-4c69-851e-56ddb16bd5f5,185.54149434019538,121.30570267852535,91.55878289996691,1301.5940200813122,0.09816826030779574,29.376501029538854,0.03564307853307585,D5
27,bf04b495-3291-4508-a497-e6d96dc52362,150.04299913417663,31.67099911769417,156.00495023873967,1362.2810515093895,0.12139377258113528,23.7560785753861,0.028856243868237985,D6
28,f5458994-6b3e-4176-9427-7cef2bb6c7d5,183.7509161636644,76.54488740522862,18.999017402611386,1420.7051790284956,0.09912487020234773,29.093001525380032,0.03582097675159022,D7
